Iters,Variance
0,0
10,0.000318585000093576
20,0.000239524413750397
30,0.00018213389868943
40,0.000145729676833163
50,0.000121152541305644
60,0.000103564326061292
70,9.03913838113353e-05
80,8.01702096444765e-05
90,7.20145639845237e-05
100,6.53586621545402e-05
110,5.98251593945002e-05
120,5.51530643151057e-05
130,5.11562530991985e-05
140,4.76984938955285e-05
150,4.46778173739989e-05
160,4.20164032936861e-05
170,3.96538429680445e-05
180,3.75425346089473e-05
190,3.56444645261585e-05
200,3.39289114696664e-05
210,3.23707796921175e-05
220,3.0949368823832e-05
230,2.96474527319974e-05
240,2.84505805324707e-05
250,2.7346539710853e-05
260,2.63249391531155e-05
270,2.53768819819805e-05
280,2.44947064282844e-05
290,2.36717787928499e-05
300,2.29023266843635e-05
310,2.21813036835761e-05
320,2.15042787378118e-05
330,2.08673451714781e-05
340,2.02670453718489e-05
350,1.97003080886059e-05
360,1.91643959501944e-05
370,1.8656861306671e-05
380,1.81755088980341e-05
390,1.77183641484161e-05
400,1.72836461214988e-05
410,1.68697443569948e-05
420,1.64751989537289e-05
430,1.6098683380687e-05
440,1.57389895899102e-05
450,1.53950150795565e-05
460,1.50657516154936e-05
470,1.47502753686005e-05
480,1.44477382647368e-05
490,1.41573603769484e-05
500,1.38784232163088e-05
510,1.36102637999688e-05
520,1.33522693933729e-05
530,1.31038728389327e-05
540,1.28645483962511e-05
550,1.26338080297027e-05
560,1.24111980882543e-05
570,1.21962963300147e-05
580,1.198870925046e-05
590,1.1788069678802e-05
600,1.15940346116048e-05
610,1.14062832567834e-05
620,1.12245152645465e-05
630,1.10484491247243e-05
640,1.08778207125552e-05
650,1.07123819671053e-05
660,1.05518996884267e-05
670,1.0396154441188e-05
680,1.02449395539611e-05
690,1.00980602045365e-05
700,9.95533258279576e-06
710,9.81658312355171e-06
720,9.68164780262493e-06
730,9.55037149020012e-06
740,9.42260735603042e-06
750,9.29821632176906e-06
760,9.17706655608013e-06
770,9.05903300871411e-06
780,8.94399698006241e-06
790,8.83184572309352e-06
800,8.72247207485304e-06
810,8.61577411500757e-06
820,8.5116548491287e-06
830,8.41002191467504e-06
840,8.31078730778001e-06
850,8.2138671291472e-06
860,8.11918134751858e-06
870,8.0266535793153e-06
880,7.93621088316964e-06
890,7.84778356819414e-06
900,7.7613050149103e-06
910,7.67671150791072e-06
920,7.59394207931785e-06
930,7.51293836227765e-06
940,7.43364445372106e-06
950,7.35600678571619e-06
960,7.27997400482673e-06
970,7.2054968588339e-06
980,7.13252809036058e-06
990,7.0610223369094e-06
1000,6.99093603681338e-06
1010,6.92222734077146e-06
1020,6.85485602851361e-06
1030,6.78878343032437e-06
1040,6.7239723530167e-06
1050,6.66038701014195e-06
1060,6.59799295610322e-06
1070,6.53675702393512e-06
1080,6.47664726653101e-06
1090,6.41763290106548e-06
1100,6.35968425644706e-06
1110,6.30277272356714e-06
1120,6.24687070821722e-06
1130,6.19195158648304e-06
1140,6.13798966246408e-06
1150,6.08496012819276e-06
1160,6.03283902561469e-06
1170,5.98160321049072e-06
1180,5.9312303181399e-06
1190,5.88169873090126e-06
1200,5.83298754718495e-06
1210,5.78507655208251e-06
1220,5.73794618938723e-06
1230,5.69157753499217e-06
1240,5.64595227154978e-06
1250,5.60105266434384e-06
1260,5.55686153832259e-06
1270,5.51336225617774e-06
1280,5.47053869747452e-06
1290,5.42837523873048e-06
1300,5.3868567344137e-06
1310,5.34596849879813e-06
1320,5.30569628865903e-06
1330,5.26602628672426e-06
1340,5.2269450858653e-06
1350,5.18843967400065e-06
1360,5.15049741964872e-06
1370,5.11310605810871e-06
1380,5.07625367825223e-06
1390,5.03992870986546e-06
1400,5.00411991154931e-06
1410,4.96881635911248e-06
1420,4.93400743445819e-06
1430,4.89968281495313e-06
1440,4.8658324632055e-06
1450,4.83244661729073e-06
1460,4.79951578135992e-06
1470,4.76703071664252e-06
1480,4.73498243279798e-06
1490,4.70336217962541e-06
1500,4.67216143909485e-06
1510,4.64137191770719e-06
1520,4.61098553913446e-06
1530,4.58099443716492e-06
1540,4.55139094890423e-06
1550,4.52216760826613e-06
1560,4.49331713967195e-06
1570,4.46483245203155e-06
1580,4.43670663292857e-06
1590,4.40893294302276e-06
1600,4.38150481066289e-06
1610,4.35441582672462e-06
1620,4.32765973958984e-06
1630,4.30123045035636e-06
1640,4.27512200819528e-06
1650,4.24932860588629e-06
1660,4.22384457551465e-06
1670,4.19866438431396e-06
1680,4.1737826306671e-06
1690,4.14919404023085e-06
1700,4.12489346222989e-06
1710,4.10087586584021e-06
1720,4.07713633673269e-06
1730,4.05367007370312e-06
1740,4.03047238545737e-06
1750,4.007538687463e-06
1760,3.98486449894545e-06
1770,3.96244543995871e-06
1780,3.94027722857174e-06
1790,3.91835567814114e-06
1800,3.8966766946678e-06
1810,3.87523627425871e-06
1820,3.85403050066519e-06
1830,3.83305554287108e-06
1840,3.81230765281926e-06
1850,3.79178316316423e-06
1860,3.7714784851037e-06
1870,3.75139010630097e-06
1880,3.73151458884967e-06
1890,3.71184856731881e-06
1900,3.6923887468476e-06
1910,3.67313190130755e-06
1920,3.65407487152016e-06
1930,3.63521456353417e-06
1940,3.61654794693366e-06
1950,3.59807205323853e-06
1960,3.57978397431468e-06
1970,3.56168086085253e-06
1980,3.54375992088566e-06
1990,3.52601841835891e-06
2000,3.50845367173572e-06
2010,3.49106305264327e-06
2020,3.47384398456045e-06
2030,3.45679394155501e-06
2040,3.43991044703779e-06
2050,3.42319107256047e-06
2060,3.40663343667396e-06
2070,3.3902352037713e-06
2080,3.37399408299783e-06
2090,3.3579078271922e-06
2100,3.34197423184424e-06
2110,3.32619113408208e-06
2120,3.31055641170125e-06
2130,3.29506798221452e-06
2140,3.27972380192204e-06
2150,3.26452186501473e-06
2160,3.24946020269925e-06
2170,3.23453688234162e-06
2180,3.21975000666391e-06
2190,3.20509771290746e-06
2200,3.19057817207954e-06
2210,3.17618958817153e-06
2220,3.16193019742721e-06
2230,3.14779826762801e-06
2240,3.13379209737236e-06
2250,3.11991001541775e-06
2260,3.10615038000251e-06
2270,3.09251157819388e-06
2280,3.07899202526226e-06
2290,3.06559016407814e-06
2300,3.0523044644921e-06
2310,3.03913342277806e-06
2320,3.02607556104338e-06
2330,3.01312942669551e-06
2340,3.00029359188001e-06
2350,2.98756665298007e-06
2360,2.97494723008894e-06
2370,2.96243396652117e-06
2380,2.95002552831377e-06
2390,2.93772060376538e-06
2400,2.92551790296654e-06
2410,2.91341615735175e-06
2420,2.90141411925774e-06
2430,2.88951056149588e-06
2440,2.87770427693579e-06
2450,2.8659940780908e-06
2460,2.85437879673435e-06
2470,2.84285728348865e-06
2480,2.83142840746831e-06
2490,2.82009105589523e-06
2500,2.80884413374438e-06
2510,2.79768656338877e-06
2520,2.78661728425879e-06
2530,2.7756352524993e-06
2540,2.76473944064868e-06
2550,2.7539288373126e-06
2560,2.74320244685573e-06
2570,2.73255928909606e-06
2580,2.72199839899848e-06
2590,2.71151882639443e-06
2600,2.70111963568767e-06
2610,2.69079990558182e-06
2620,2.6805587288083e-06
2630,2.6703952118525e-06
2640,2.66030847470248e-06
2650,2.65029765059171e-06
2660,2.64036188575527e-06
2670,2.63050033918057e-06
2680,2.62071218236789e-06
2690,2.61099659910392e-06
2700,2.60135278524258e-06
2710,2.59177994846994e-06
2720,2.58227730808611e-06
2730,2.57284409480828e-06
2740,2.5634795505443e-06
2750,2.55418292820264e-06
2760,2.5449534914971e-06
2770,2.53579051473356e-06
2780,2.5266932826369e-06
2790,2.51766109016294e-06
2800,2.50869324230222e-06
2810,2.49978905392659e-06
2820,2.49094784958987e-06
2830,2.48216896337208e-06
2840,2.47345173870455e-06
2850,2.46479552821552e-06
2860,2.45619969355401e-06
2870,2.44766360525358e-06
2880,2.4391866425631e-06
2890,2.43076819329962e-06
2900,2.42240765370185e-06
2910,2.414104428291e-06
2920,2.40585792971885e-06
2930,2.3976675786399e-06
2940,2.38953280357245e-06
2950,2.38145304075714e-06
2960,2.37342773403543e-06
2970,2.36545633472793e-06
2980,2.35753830149351e-06
2990,2.34967310022082e-06
3000,2.34186020389519e-06
3010,2.33409909249391e-06
3020,2.32638925286622e-06
3030,2.31873017861471e-06
3040,2.31112136998399e-06
3050,2.30356233377218e-06
3060,2.29605258319461e-06
3070,2.2885916377996e-06
3080,2.28117902336376e-06
3090,2.27381427177242e-06
3100,2.26649692095645e-06
3110,2.25922651476689e-06
3120,2.25200260288275e-06
3130,2.24482474073444e-06
3140,2.23769248939501e-06
3150,2.23060541550101e-06
3160,2.22356309116538e-06
3170,2.21656509387633e-06
3180,2.20961100644042e-06
3190,2.20270041686862e-06
3200,2.19583291831403e-06
3210,2.18900810899353e-06
3220,2.18222559209643e-06
3230,2.17548497571959e-06
3240,2.16878587278497e-06
3250,2.16212790096729e-06
3260,2.15551068262111e-06
3270,2.14893384471037e-06
3280,2.14239701874151e-06
3290,2.13589984069059e-06
3300,2.12944195092456e-06
3310,2.12302299416379e-06
3320,2.1166426193885e-06
3330,2.1103004797877e-06
3340,2.10399623269823e-06
3350,2.09772953953581e-06
3360,2.09150006573865e-06
3370,2.0853074807075e-06
3380,2.07915145774927e-06
3390,2.07303167401306e-06
3400,2.06694781043794e-06
3410,2.06089955170377e-06
3420,2.05488658616185e-06
3430,2.04890860579686e-06
3440,2.04296530616352e-06
3450,2.03705638633776e-06
3460,2.03118154887415e-06
3470,2.02534049973852e-06
3480,2.01953294827589e-06
3490,2.01375860715403e-06
3500,2.00801719231404e-06
3510,2.00230842293642e-06
3520,1.99663202137332e-06
3530,1.9909877131296e-06
3540,1.98537522679315e-06
3550,1.97979429401169e-06
3560,1.97424464944072e-06
3570,1.96872603069961e-06
3580,1.96323817833515e-06
3590,1.9577808357757e-06
3600,1.95235374930601e-06
3610,1.94695666799941e-06
3620,1.94158934370603e-06
3630,1.93625153100864e-06
3640,1.93094298717062e-06
3650,1.92566347211814e-06
3660,1.92041274839196e-06
3670,1.9151905811183e-06
3680,1.9099967379692e-06
3690,1.90483098913369e-06
3700,1.89969310727246e-06
3710,1.89458286749893e-06
3720,1.88950004734105e-06
3730,1.88444442669432e-06
3740,1.87941578783632e-06
3750,1.87441391532016e-06
3760,1.86943859601136e-06
3770,1.86448961903044e-06
3780,1.85956677572088e-06
3790,1.85466985962484e-06
3800,1.84979866645424e-06
3810,1.84495299406149e-06
3820,1.84013264241188e-06
3830,1.83533741355335e-06
3840,1.83056711159392e-06
3850,1.82582154267565e-06
3860,1.82110051493853e-06
3870,1.81640383850807e-06
3880,1.81173132546221e-06
3890,1.80708278980937e-06
3900,1.80245804745082e-06
3910,1.79785691618695e-06
3920,1.79327921565196e-06
3930,1.7887247673288e-06
3940,1.78419339450632e-06
3950,1.77968492224908e-06
3960,1.77519917740607e-06
3970,1.77073598854468e-06
3980,1.76629518596348e-06
3990,1.76187660166207e-06
4000,1.75748006930992e-06
4010,1.75310542423342e-06
4020,1.74875250340219e-06
4030,1.74442114538942e-06
4040,1.74011119037215e-06
4050,1.73582248010026e-06
4060,1.73155485787889e-06
4070,1.72730816855435e-06
4080,1.7230822584876e-06
4090,1.71887697553765e-06
4100,1.71469216904731e-06
4110,1.71052768982522e-06
4120,1.70638339012858e-06
4130,1.70225912363274e-06
4140,1.6981547454299e-06
4150,1.69407011200832e-06
4160,1.69000508123668e-06
4170,1.6859595123294e-06
4180,1.68193326586242e-06
4190,1.67792620373402e-06
4200,1.67393818915366e-06
4210,1.6699690866323e-06
4220,1.66601876195826e-06
4230,1.66208708219152e-06
4240,1.65817391564016e-06
4250,1.6542791318523e-06
4260,1.65040260159462e-06
4270,1.64654419684695e-06
4280,1.64270379078443e-06
4290,1.63888125775141e-06
4300,1.63507647328034e-06
4310,1.63128931403234e-06
4320,1.6275196578296e-06
4330,1.62376738360697e-06
4340,1.62003237141622e-06
4350,1.61631450241734e-06
4360,1.61261365885027e-06
4370,1.60892972403384e-06
4380,1.6052625823502e-06
4390,1.6016121192386e-06
4400,1.59797822116866e-06
4410,1.59436077564579e-06
4420,1.59075967118799e-06
4430,1.58717479731742e-06
4440,1.58360604455356e-06
4450,1.58005330439492e-06
4460,1.57651646931111e-06
4470,1.5729954327369e-06
4480,1.56949008905017e-06
4490,1.56600033358286e-06
4500,1.5625260625655e-06
4510,1.55906717318265e-06
4520,1.55562356350713e-06
4530,1.55219513251312e-06
4540,1.54878178006681e-06
4550,1.54538340691135e-06
4560,1.54199991466068e-06
4570,1.53863120578034e-06
4580,1.53527718360161e-06
4590,1.53193775228437e-06
4600,1.5286128168236e-06
4610,1.52530228303693e-06
4620,1.52200605756379e-06
4630,1.51872404783317e-06
4640,1.51545616209048e-06
4650,1.51220230934619e-06
4660,1.50896239941449e-06
4670,1.50573634286392e-06
4680,1.50252405102716e-06
4690,1.49932543600671e-06
4700,1.49614041063494e-06
4710,1.49296888849272e-06
4720,1.48981078388862e-06
4730,1.48666601185285e-06
4740,1.48353448813873e-06
4750,1.48041612919953e-06
4760,1.47731085219548e-06
4770,1.47421857497905e-06
4780,1.47113921608618e-06
4790,1.46807269473598e-06
4800,1.46501893081097e-06
4810,1.46197784487916e-06
4820,1.45894935814377e-06
4830,1.45593339247024e-06
4840,1.45292987037293e-06
4850,1.44993871499239e-06
4860,1.44695985010965e-06
4870,1.44399320013284e-06
4880,1.44103869007703e-06
4890,1.43809624558087e-06
4900,1.4351657928889e-06
4910,1.43224725883759e-06
4920,1.42934057086384e-06
4930,1.42644565698999e-06
4940,1.42356244582135e-06
4950,1.42069086653629e-06
4960,1.41783084888995e-06
4970,1.41498232319511e-06
4980,1.41214522032569e-06
4990,1.40931947171547e-06
5000,1.40650500933295e-06
5010,1.40370176570022e-06
5020,1.40090967387049e-06
5030,1.39812866743015e-06
5040,1.39535868049158e-06
5050,1.39259964769196e-06
5060,1.38985150417525e-06
5070,1.38711418560428e-06
5080,1.38438762814815e-06
5090,1.38167176847331e-06
5100,1.37896654374184e-06
5110,1.37627189161014e-06
5120,1.37358775021746e-06
5130,1.37091405818647e-06
5140,1.3682507546165e-06
5150,1.36559777908297e-06
5160,1.36295507161974e-06
5170,1.36032257273634e-06
5180,1.35770022339102e-06
5190,1.35508796499736e-06
5200,1.35248573942548e-06
5210,1.34989348898124e-06
