Iters,Variance
0,0
10,0.000528124505053087
20,0.000426548453364928
30,0.000331800534215141
40,0.000268412912512539
50,0.00022459047480669
60,0.000192802546822472
70,0.000168785066271671
80,0.000150034567330438
90,0.000135005031370235
100,0.000122696217571548
110,0.000112434535586522
120,0.000103750652855483
130,9.63079242943466e-05
140,8.9858789083688e-05
150,8.42172311004475e-05
160,7.92408266230384e-05
170,7.48187120209231e-05
180,7.08633188654103e-05
190,6.73045717424054e-05
200,6.40857348861309e-05
210,6.11603866741887e-05
220,5.84901806878096e-05
230,5.6043165001004e-05
240,5.37925039972453e-05
250,5.17154946826708e-05
260,4.97928013406252e-05
270,4.8007854055057e-05
280,4.63463716132629e-05
290,4.47959798033812e-05
300,4.33459035868632e-05
310,4.19867169971472e-05
320,4.07101385254367e-05
330,3.9508862631119e-05
340,3.83764201526087e-05
350,3.73070619987841e-05
360,3.62956617157348e-05
370,3.53376334507253e-05
380,3.44288625486332e-05
390,3.35656465690518e-05
400,3.27446449439128e-05
410,3.19628358345671e-05
420,3.12174790154889e-05
430,3.0506083825092e-05
440,2.98263813947689e-05
450,2.91763005045768e-05
460,2.85539465249291e-05
470,2.79575829938324e-05
480,2.73856154527999e-05
490,2.68365772249012e-05
500,2.63091168681311e-05
510,2.58019870783071e-05
520,2.53140348498847e-05
530,2.48441927314153e-05
540,2.43914710362014e-05
550,2.39549508886197e-05
560,2.35337780033377e-05
570,2.31271571089406e-05
580,2.2734346939342e-05
590,2.23546557267411e-05
600,2.19874371384461e-05
610,2.16320866074402e-05
620,2.12880380128479e-05
630,2.09547606720342e-05
640,2.06317566106849e-05
650,2.03185580814048e-05
660,2.00147253048024e-05
670,1.97198444101432e-05
680,1.94335255553065e-05
690,1.91554012080857e-05
700,1.88851245729388e-05
710,1.86223681489575e-05
720,1.83668224065521e-05
730,1.8118194571548e-05
740,1.78762075066715e-05
750,1.76405986814482e-05
760,1.74111192224561e-05
770,1.71875330367626e-05
780,1.69696160019627e-05
790,1.67571552170786e-05
800,1.65499483089927e-05
810,1.63478027896963e-05
820,1.61505354600571e-05
830,1.59579718562082e-05
840,1.57699457351196e-05
850,1.55862985959852e-05
860,1.54068792347932e-05
870,1.52315433291988e-05
880,1.50601530514607e-05
890,1.48925767072082e-05
900,1.47286883980256e-05
910,1.45683677061118e-05
920,1.44114993992582e-05
930,1.4257973154706e-05
940,1.41076833004651e-05
950,1.39605285728165e-05
960,1.38164118888005e-05
970,1.36752401327025e-05
980,1.35369239554378e-05
990,1.34013775860347e-05
1000,1.32685186542891e-05
1010,1.313826802389e-05
1020,1.30105496352558e-05
1030,1.28852903574555e-05
1040,1.27624198486148e-05
1050,1.26418704241947e-05
1060,1.25235769327048e-05
1070,1.24074766383031e-05
1080,1.22935091098687e-05
1090,1.21816161161373e-05
1100,1.20717415265097e-05
1110,1.1963831217163e-05
1120,1.18578329821901e-05
1130,1.17536964493659e-05
1140,1.16513730003761e-05
1150,1.15508156951117e-05
1160,1.14519791998919e-05
1170,1.13548197193442e-05
1180,1.1259294931676e-05
1190,1.11653639272446e-05
1200,1.10729871501304e-05
1210,1.09821263426198e-05
1220,1.08927444923537e-05
1230,1.08048057820967e-05
1240,1.07182755418731e-05
1250,1.06331202033901e-05
1260,1.05493072566438e-05
1270,1.04668052085239e-05
1280,1.03855835433723e-05
1290,1.0305612685365e-05
1300,1.02268639625782e-05
1310,1.01493095727469e-05
1320,1.00729225505291e-05
1330,9.9976767362565e-06
1340,9.92354674606586e-06
1350,9.85050794334158e-06
1360,9.7785364114416e-06
1370,9.70760892756778e-06
1380,9.63770293780249e-06
1390,9.5687965331842e-06
1400,9.50086842683156e-06
1410,9.43389793201088e-06
1420,9.36786494114059e-06
1430,9.30274990566215e-06
1440,9.23853381673959e-06
1450,9.17519818678691e-06
1460,9.11272503168554e-06
1470,9.05109685379325e-06
1480,8.99029662558931e-06
1490,8.93030777400651e-06
1500,8.87111416534322e-06
1510,8.81270009083279e-06
1520,8.75505025271783e-06
1530,8.69814975091689e-06
1540,8.64198407017547e-06
1550,8.58653906771023e-06
1560,8.5318009613717e-06
1570,8.47775631817132e-06
1580,8.42439204336215e-06
1590,8.37169536978894e-06
1600,8.31965384776305e-06
1610,8.26825533521212e-06
1620,8.21748798827506e-06
1630,8.16734025218992e-06
1640,8.11780085250241e-06
1650,8.06885878665726e-06
1660,8.02050331582553e-06
1670,7.97272395705363e-06
1680,7.92551047569986e-06
1690,7.87885287810274e-06
1700,7.83274140455154e-06
1710,7.78716652247451e-06
1720,7.74211891986061e-06
1730,7.69758949893097e-06
1740,7.65356936999864e-06
1750,7.61004984556563e-06
1760,7.56702243459896e-06
1770,7.52447883701659e-06
1780,7.4824109383423e-06
1790,7.4408108045407e-06
1800,7.39967067705145e-06
1810,7.35898296794057e-06
1820,7.31874025525375e-06
1830,7.27893527848119e-06
1840,7.23956093422343e-06
1850,7.2006102719336e-06
1860,7.16207648985238e-06
1870,7.12395293102295e-06
1880,7.08623307948186e-06
1890,7.04891055653003e-06
1900,7.01197911715304e-06
1910,6.97543264650972e-06
1920,6.93926515659276e-06
1930,6.90347078294173e-06
1940,6.86804378144992e-06
1950,6.83297852533329e-06
1960,6.79826950212721e-06
1970,6.76391131080109e-06
1980,6.72989865895827e-06
1990,6.69622636011276e-06
2000,6.66288933107105e-06
2010,6.62988258934042e-06
2020,6.59720125069303e-06
2030,6.56484052670535e-06
2040,6.5327957224699e-06
2050,6.50106223427741e-06
2060,6.46963554744728e-06
2070,6.43851123416511e-06
2080,6.4076849514248e-06
2090,6.37715243897841e-06
2100,6.34690951740574e-06
2110,6.31695208617241e-06
2120,6.28727612182017e-06
2130,6.25787767612707e-06
2140,6.22875287436706e-06
2150,6.1998979136198e-06
2160,6.17130906110287e-06
2170,6.14298265256866e-06
2180,6.11491509072713e-06
2190,6.08710284374641e-06
2200,6.05954244373991e-06
2210,6.03223048535853e-06
2220,6.00516362435854e-06
2230,5.97833857626328e-06
2240,5.95175211499671e-06
2250,5.92540107164219e-06
2260,5.8992823331321e-06
2270,5.87339284106461e-06
2280,5.84772959047041e-06
2290,5.82228962868503e-06
2300,5.79707005419806e-06
2310,5.77206801554949e-06
2320,5.74728071025464e-06
2330,5.72270538377552e-06
2340,5.69833932846759e-06
2350,5.6741798826261e-06
2360,5.65022442947622e-06
2370,5.62647039624558e-06
2380,5.60291525326137e-06
2390,5.57955651301593e-06
2400,5.55639172932464e-06
2410,5.53341849644279e-06
2420,5.51063444826821e-06
2430,5.48803725749033e-06
2440,5.46562463482085e-06
2450,5.44339432821853e-06
2460,5.42134412212861e-06
2470,5.39947183675402e-06
2480,5.37777532732295e-06
2490,5.35625248341274e-06
2500,5.33490122823501e-06
2510,5.31371951798837e-06
2520,5.29270534121627e-06
2530,5.27185671813304e-06
2540,5.25117170003385e-06
2550,5.2306483686788e-06
2560,5.21028483570426e-06
2570,5.19007924202044e-06
2580,5.17002975728613e-06
2590,5.15013457931787e-06
2600,5.13039193356548e-06
2610,5.11080007260564e-06
2620,5.09135727557843e-06
