Iters,Variance
0,0
10,0.000767811337700078
20,0.00066812711449818
30,0.00053236582901538
40,0.000435686475223677
50,0.000367043191409944
60,0.000316503975578949
70,0.000277953203683334
80,0.000247656191448514
90,0.000223252513085513
100,0.000203191377390416
110,0.000186416914461405
120,0.000172187341655824
130,0.000159967156204495
140,0.000149360524096953
150,0.000140068754628205
160,0.000131862343208301
170,0.00012456210419538
180,0.000118026137291472
190,0.00011214063366816
200,0.000106813267775285
210,0.000101968366589978
220,9.75433237109225e-05
230,9.3485900192553e-05
240,8.97521668674738e-05
250,8.63049173445098e-05
260,8.31124308646456e-05
270,8.01474983367653e-05
280,7.73866485474801e-05
290,7.4809528187923e-05
300,7.23984012037151e-05
310,7.01377415316886e-05
320,6.8013899530181e-05
330,6.60148270131236e-05
340,6.41298492262889e-05
350,6.23494746810072e-05
360,6.06652357145267e-05
370,5.90695541401445e-05
380,5.75556275010898e-05
390,5.61173323355609e-05
400,5.47491415584531e-05
410,5.34460536145559e-05
420,5.22035314926394e-05
430,5.1017450036256e-05
440,4.98840502640624e-05
450,4.87998996357539e-05
460,4.77618573802512e-05
470,4.67670441495867e-05
480,4.58128153819258e-05
490,4.48967378554694e-05
500,4.40165689962055e-05
510,4.31702385694652e-05
520,4.23558324410231e-05
530,4.15715781399673e-05
540,4.08158319943048e-05
550,4.00870676431737e-05
560,3.93838657566869e-05
570,3.8704904818045e-05
580,3.80489528419191e-05
590,3.74148599200922e-05
600,3.68015514995712e-05
610,3.62080223104799e-05
620,3.56333308717328e-05
630,3.50765945112653e-05
640,3.4536984845577e-05
650,3.40137236698138e-05
660,3.35060792155888e-05
670,3.30133627387893e-05
680,3.25349254037947e-05
690,3.2070155434573e-05
700,3.16184755064022e-05
710,3.11793403547154e-05
720,3.07522345804293e-05
730,3.03366706330118e-05
740,2.99321869548903e-05
750,2.95383462722083e-05
760,2.91547340186977e-05
770,2.8780956880724e-05
780,2.84166414528018e-05
790,2.80614329938199e-05
800,2.7714994275461e-05
810,2.73770045147073e-05
820,2.70471583835843e-05
830,2.67251650895725e-05
840,2.64107475208372e-05
850,2.61036414511879e-05
860,2.58035947997256e-05
870,2.55103669410342e-05
880,2.52237280617972e-05
890,2.49434585603151e-05
900,2.46693484856188e-05
910,2.44011970130996e-05
920,2.41388119540064e-05
930,2.3882009296204e-05
940,2.36306127739559e-05
950,2.33844534645477e-05
960,2.31433694099141e-05
970,2.2907205261354e-05
980,2.26758119458184e-05
990,2.24490463521945e-05
1000,2.22267710362408e-05
1010,2.20088539428393e-05
1020,2.17951681444815e-05
1030,2.15855915947485e-05
1040,2.13800068959704e-05
1050,2.11783010799562e-05
1060,2.0980365401083e-05
1070,2.07860951408043e-05
1080,2.05953894229926e-05
1090,2.04081510392818e-05
1100,2.02242862839103e-05
1110,2.00437047973657e-05
1120,1.98663194183409e-05
1130,1.96920460434956e-05
1140,1.95208034945142e-05
1150,1.93525133920606e-05
1160,1.91871000361513e-05
1170,1.90244902926821e-05
1180,1.88646134855873e-05
1190,1.87074012944652e-05
1200,1.85527876572541e-05
1210,1.84007086776614e-05
1220,1.82511025371647e-05
1230,1.81039094112247e-05
1240,1.79590713895208e-05
1250,1.78165324000532e-05
1260,1.76762381367122e-05
1270,1.75381359903347e-05
1280,1.74021749829596e-05
1290,1.7268305705046e-05
1300,1.71364802556626e-05
1310,1.70066521853261e-05
1320,1.68787764414387e-05
1330,1.6752809316188e-05
1340,1.66287083967236e-05
1350,1.65064325175691e-05
1360,1.63859417150882e-05
1370,1.6267197183962e-05
1380,1.61501612355015e-05
1390,1.60347972578007e-05
1400,1.59210696775247e-05
1410,1.58089439233657e-05
