Iters,Variance
0,0
10,0.00290236274090933
20,0.0111712164908101
30,0.0157559030820397
40,0.0168541766312184
50,0.0165163210494876
60,0.015685677031656
70,0.0147275027879451
80,0.0137810561628341
90,0.0128968517889065
100,0.0120896027414097
110,0.0113595193966121
120,0.0107012199202879
130,0.0101075419489294
140,0.00957116589141698
150,0.00908527134401704
160,0.00864376096775049
170,0.00824129300933395
180,0.00787323348818777
190,0.00753557942980416
200,0.00722487656323921
210,0.00693814161867251
220,0.00667279304885922
230,0.0064265910512976
240,0.00619758645930421
250,0.00598407755705795
260,0.00578457373946169
270,0.00559776497546256
280,0.0054224961409777
290,0.0052577454152478
300,0.00510260605936243
310,0.00495627100827644
320,0.00481801980489876
330,0.00468720748685895
340,0.00456325510476004
350,0.00444564160697612
360,0.00433389687223784
370,0.00422759570906119
380,0.00412635267204772
390,0.00402981757042969
400,0.00393767156503998
410,0.00384962376695165
420,0.00376540826511013
430,0.00368478152186381
440,0.00360752008493395
450,0.00353341857228266
460,0.00346228789301551
470,0.00339395367294389
480,0.0033282548580829
490,0.00326504247322645
500,0.00320417851601724
510,0.0031455349696776
520,0.0030889929198971
530,0.00303444176335654
540,0.00298177849703981
550,0.00293090707892631
560,0.00288173785187647
570,0.00283418702357386
580,0.0027881761962933
590,0.00274363194103036
600,0.00270048541121142
610,0.00265867199176875
620,0.00261813097987691
630,0.00257880529407643
640,0.00254064120889485
650,0.00250358811240186
660,0.00246759828442585
670,0.00243262669341429
680,0.00239863081013689
690,0.00236557043663161
700,0.00233340754895993
710,0.00230210615249169
720,0.00227163214857459
730,0.00224195321155559
740,0.00221303867523088
750,0.00218485942790497
760,0.00215738781528478
770,0.00213059755056064
780,0.00210446363104724
790,0.00207896226083994
800,0.00205407077898449
810,0.00202976759271025
820,0.00200603211531238
830,0.00198284470831567
840,0.00196018662757271
850,0.0019380399729966
860,0.00191638764163977
870,0.00189521328386322
880,0.00187450126236497
890,0.00185423661384823
900,0.0018344050131369
910,0.00181499273955546
920,0.00179598664541154
930,0.00177737412642566
940,0.00175914309397287
950,0.00174128194900694
960,0.00172377955754898
970,0.00170662522763159
980,0.00168980868760257
990,0.00167332006568776
1000,0.00165714987074228
1010,0.00164128897409148
1020,0.00162572859240917
1030,0.00161046027155198
1040,0.00159547587129426
1050,0.00158076755090341
1060,0.00156632775550233
1070,0.00155214920317106
1080,0.001538224872738
1090,0.00152454799222166
1100,0.00151111202788145
1110,0.00149791067383823
1120,0.00148493784223525
1130,0.00147218765390298
1140,0.00145965442949733
1150,0.0014473326810889
1160,0.00143521710417069
1170,0.00142330257006332
1180,0.00141158411869335
1190,0.00140005695172687
1200,0.00138871642603512
1210,0.0013775580474682
1220,0.00136657746493686
1230,0.00135577046476527
1240,0.00134513296531272
1250,0.00133466101184345
1260,0.00132435077163775
1270,0.00131419852932232
1280,0.00130420068241791
1290,0.00129435373708419
1300,0.00128465430405807
1310,0.00127509909477194
1320,0.00126568491764226
1330,0.00125640867452512
1340,0.00124726735731904
1350,0.00123825804472238
1360,0.00122937789912552
1370,0.00122062416363444
1380,0.00121199415922556
1390,0.00120348528201481
1400,0.00119509500064184
1410,0.0011868208537666
1420,0.00117866044766351
1430,0.00117061145391641
1440,0.00116267160720965
1450,0.00115483870320305
1460,0.0011471105964954
1470,0.00113948519867038
1480,0.00113196047641452
1490,0.00112453444971643
1500,0.00111720519012722
1510,0.00110997081909862
1520,0.00110282950637632
1530,0.00109577946846042
1540,0.00108881896712067
1550,0.00108194630797166
1560,0.00107515983909944
1570,0.00106845794973656
1580,0.00106183906899337
1590,0.00105530166462942
1600,0.00104884424187257
1610,0.00104246534228266
1620,0.00103616354265282
1630,0.00102993745395369
1640,0.00102378572031132
1650,0.00101770701802899
1660,0.00101170005463289
1670,0.00100576356796104
1680,0.000999896325278747
1690,0.000994097122426569
1700,0.000988364782997358
1710,0.000982698157539899
1720,0.000977096122795708
1730,0.000971557580951021
1740,0.00096608145892758
1750,0.00096066670768346
1760,0.000955312301549782
1770,0.000950017237578835
1780,0.000944780534922127
1790,0.000939601234222771
1800,0.000934478397031008
1810,0.000929411105238243
1820,0.000924398460528654
1830,0.000919439583849399
1840,0.000914533614895916
1850,0.000909679711615836
1860,0.000904877049727841
1870,0.000900124822254116
1880,0.000895422239070047
1890,0.000890768526467247
1900,0.000886162926726026
1910,0.000881604697709361
1920,0.000877093112461426
1930,0.000872627458821141
1940,0.000868207039050804
1950,0.000863831169469216
1960,0.000859499180101762
1970,0.000855210414338684
1980,0.000850964228601831
1990,0.000846759992025107
