Iters,Variance
0,0
10,0.000813604053754967
20,0.000717824936627542
30,0.000574557491733195
40,0.000471242475766278
50,0.000397504911902488
60,0.00034305884486271
70,0.000301452067090274
80,0.000268711945538994
90,0.000242315873488529
100,0.000220601436097946
110,0.0002024343179277
120,0.000187016342152336
130,0.000173770574572899
140,0.000162270130281857
150,0.00015219262515226
160,0.000143290180845767
170,0.000135369155003171
180,0.000128276123072783
190,0.000121887980685531
200,0.000116104823980919
210,0.000110844741385616
220,0.00010603994520316
230,0.00010163385827686
240,9.7578892010217e-05
250,9.38347319357264e-05
260,9.03670007365848e-05
270,8.7146205332614e-05
280,8.41469001114886e-05
290,8.13470163097876e-05
300,7.8727320326956e-05
310,7.62709729775372e-05
320,7.39631684180855e-05
330,7.17908364504951e-05
340,6.97423956023976e-05
350,6.78075471667306e-05
360,6.59771024922335e-05
370,6.42428374299628e-05
380,6.25973690844583e-05
390,6.10340509833608e-05
400,5.95468835339565e-05
410,5.81304372288699e-05
420,5.6779786533225e-05
430,5.54904527599309e-05
440,5.42583545397253e-05
450,5.30797647338867e-05
460,5.19512728330963e-05
470,5.08697520446373e-05
480,4.9832330400114e-05
490,4.88363653222928e-05
500,4.78794211774787e-05
510,4.69592494125627e-05
520,4.60737709361508e-05
530,4.52210604535077e-05
540,4.43993325072443e-05
550,4.36069290109249e-05
560,4.28423080926506e-05
570,4.2104034090836e-05
580,4.1390768565685e-05
590,4.07012622081612e-05
600,4.00343475435367e-05
610,3.93889323400767e-05
620,3.87639936445477e-05
630,3.81585723761421e-05
640,3.75717684187692e-05
650,3.70027361588976e-05
660,3.64506804225678e-05
670,3.59148527703821e-05
680,3.53945481143628e-05
690,3.48891016244118e-05
700,3.43978858959678e-05
710,3.39203083533565e-05
720,3.34558088664266e-05
730,3.30038575601731e-05
740,3.25639527994424e-05
750,3.21356193325959e-05
760,3.17184065796542e-05
770,3.13118870520349e-05
780,3.09156548922001e-05
790,3.05293245226968e-05
800,3.01525293952596e-05
810,2.97849208312659e-05
820,2.94261669460343e-05
830,2.90759516498712e-05
840,2.87339737195425e-05
850,2.83999459345181e-05
860,2.80735942727325e-05
870,2.77546571611406e-05
880,2.74428847767381e-05
890,2.71380383942032e-05
900,2.68398897764519e-05
910,2.65482206049794e-05
920,2.62628219468742e-05
930,2.59834937558849e-05
940,2.57100444049273e-05
950,2.54422902478298e-05
960,2.51800552081546e-05
970,2.49231703931769e-05
980,2.46714737312527e-05
990,2.44248096309406e-05
1000,2.4183028660332e-05
1010,2.39459872452694e-05
1020,2.37135473851252e-05
1030,2.34855763849351e-05
1040,2.32619466028874e-05
1050,2.30425352120754e-05
1060,2.28272239755662e-05
1070,2.26158990340166e-05
1080,2.24084507049416e-05
1090,2.22047732929166e-05
1100,2.20047649101035e-05
1110,2.18083273062557e-05
1120,2.16153657078981e-05
1130,2.14257886658647e-05
1140,2.12395079108167e-05
1150,2.10564382162187e-05
1160,2.08764972683773e-05
1170,2.06996055430496e-05
1180,2.05256861882742e-05
1190,2.0354664913062e-05
1200,2.01864698816202e-05
1210,2.00210316127561e-05
1220,1.98582828841912e-05
1230,1.96981586414976e-05
1240,1.95405959114423e-05
1250,1.93855337193767e-05
1260,1.92329130106247e-05
1270,1.90826765754812e-05
1280,1.89347689777267e-05
1290,1.87891364864269e-05
1300,1.86457270109061e-05
1310,1.85044900385701e-05
1320,1.83653765756337e-05
1330,1.82283390904838e-05
1340,1.80933314594953e-05
1350,1.79603089153158e-05
1360,1.78292279973686e-05
1370,1.77000465044793e-05
1380,1.75727234496756e-05
1390,1.74472190167496e-05
1400,1.73234945187851e-05
1410,1.72015123584113e-05
1420,1.70812359896968e-05
1430,1.69626298816667e-05
1440,1.68456594833051e-05
1450,1.67302911900024e-05
1460,1.66164923113805e-05
1470,1.65042310403911e-05
1480,1.63934764237112e-05
1490,1.62841983332658e-05
1500,1.6176367438934e-05
1510,1.60699551822849e-05
1520,1.59649337513624e-05
1530,1.58612760564744e-05
1540,1.5758955706887e-05
1550,1.56579469884206e-05
1560,1.55582248419212e-05
1570,1.54597648425267e-05
1580,1.53625431797343e-05
1590,1.52665366381904e-05
1600,1.51717225792209e-05
1610,1.50780789230395e-05
1620,1.49855841316156e-05
1630,1.48942171921131e-05
1640,1.48039576010531e-05
1650,1.47147853489036e-05
1660,1.46266809053424e-05
1670,1.45396252049778e-05
1680,1.44535996335967e-05
1690,1.43685860148909e-05
1700,1.42845665976838e-05
1710,1.42015240435294e-05
1720,1.4119441414813e-05
1730,1.40383021632352e-05
1740,1.3958090118699e-05
1750,1.3878789478538e-05
1760,1.38003847971638e-05
1770,1.3722860976026e-05
1780,1.36462032539257e-05
1790,1.35703971976394e-05
1800,1.34954286928695e-05
1810,1.3421283935477e-05
1820,1.33479494230183e-05
1830,1.32754119465237e-05
1840,1.32036585825969e-05
1850,1.31326766857324e-05
1860,1.30624538808595e-05
1870,1.29929780561921e-05
1880,1.29242373562376e-05
1890,1.28562201750565e-05
1900,1.27889151497323e-05
1910,1.2722311154061e-05
1920,1.26563972923884e-05
1930,1.25911628936934e-05
1940,1.25265975058144e-05
1950,1.24626908898795e-05
1960,1.23994330148714e-05
1970,1.23368140524227e-05
1980,1.22748243716774e-05
1990,1.22134545343715e-05
2000,1.21526952900579e-05
2010,1.20925375714295e-05
2020,1.20329724898528e-05
2030,1.1973991330926e-05
2040,1.19155855502852e-05
2050,1.18577467694519e-05
2060,1.180046677184e-05
2070,1.17437374988483e-05
2080,1.1687551046083e-05
2090,1.16318996597251e-05
2100,1.15767757328943e-05
2110,1.15221718022345e-05
2120,1.14680805445418e-05
2130,1.14144947734715e-05
2140,1.13614074363542e-05
2150,1.13088116111412e-05
2160,1.12567005033344e-05
2170,1.12050674430927e-05
2180,1.11539058824202e-05
2190,1.11032093923355e-05
2200,1.10529716602024e-05
2210,1.10031864871404e-05
2220,1.09538477854234e-05
2230,1.09049495760434e-05
2240,1.08564859862478e-05
2250,1.08084512472679e-05
2260,1.07608396919042e-05
2270,1.07136457524472e-05
2280,1.06668639583702e-05
2290,1.06204889343167e-05
2300,1.05745153979853e-05
2310,1.05289381581436e-05
2320,1.04837521126695e-05
2330,1.04389522466435e-05
2340,1.03945336305071e-05
2350,1.03504914182584e-05
2360,1.03068208456408e-05
2370,1.026351722849e-05
2380,1.02205759610187e-05
2390,1.01779925142269e-05
2400,1.01357624342246e-05
2410,1.00938813407712e-05
2420,1.00523449257115e-05
2430,1.0011148951526e-05
2440,9.97028924981758e-06
2450,9.92976172005111e-06
2460,9.88956232801594e-06
2470,9.84968710460073e-06
2480,9.81013214443861e-06
2490,9.7708936046467e-06
2500,9.731967703575e-06
2510,9.69335071959238e-06
2520,9.65503898991415e-06
2530,9.6170289094267e-06
2540,9.57931692955951e-06
2550,9.54189955718367e-06
2560,9.50477335353724e-06
2570,9.46793493317134e-06
2580,9.4313809629168e-06
2590,9.3951081608589e-06
2600,9.35911329541687e-06
2610,9.32339318430373e-06
2620,9.28794469366777e-06
2630,9.25276473710137e-06
2640,9.21785027479824e-06
2650,9.18319831265234e-06
2660,9.14880590141082e-06
2670,9.11467013584102e-06
2680,9.08078815391768e-06
2690,9.04715713599099e-06
2700,9.01377430403829e-06
2710,8.98063692088618e-06
2720,8.94774228945841e-06
2730,8.91508775206068e-06
2740,8.88267068963533e-06
2750,8.8504885211078e-06
2760,8.81853870263122e-06
2770,8.78681872702079e-06
2780,8.75532612295858e-06
2790,8.72405845449006e-06
2800,8.69301332028963e-06
2810,8.66218835312765e-06
2820,8.63158121921839e-06
2830,8.60118961762616e-06
2840,8.57101127973102e-06
2850,8.54104396863009e-06
2860,8.51128547858654e-06
2870,8.48173363452812e-06
2880,8.45238629143865e-06
2890,8.42324133392008e-06
2900,8.39429667564013e-06
2910,8.36555025884256e-06
2920,8.33700005388243e-06
2930,8.30864405867858e-06
2940,8.28048029834298e-06
2950,8.25250682465913e-06
2960,8.22472171563717e-06
2970,8.19712307509423e-06
2980,8.16970903220806e-06
2990,8.14247774110821e-06
3000,8.11542738043952e-06
3010,8.08855615297741e-06
3020,8.06186228521377e-06
3030,8.03534402699483e-06
3040,8.00899965109068e-06
3050,7.98282745286658e-06
3060,7.95682574988513e-06
3070,7.93099288157489e-06
3080,7.90532720883917e-06
3090,7.87982711374723e-06
3100,7.85449099916857e-06
3110,7.82931728843854e-06
3120,7.80430442505485e-06
3130,7.77945087233703e-06
3140,7.75475511311334e-06
3150,7.73021564942933e-06
3160,7.7058310021989e-06
3170,7.68159971097624e-06
3180,7.65752033360525e-06
3190,7.6335914459796e-06
3200,7.60981164169584e-06
3210,7.58617953185751e-06
3220,7.56269374477295e-06
3230,7.53935292563958e-06
3240,7.51615573637966e-06
3250,7.49310085528295e-06
3260,7.47018697685187e-06
3270,7.44741281146975e-06
3280,7.42477708522534e-06
3290,7.4022785396484e-06
3300,7.37991593145556e-06
3310,7.35768803236276e-06
3320,7.33559362882603e-06
3330,7.31363152183384e-06
3340,7.29180052670444e-06
3350,7.27009947284097e-06
3360,7.24852720354707e-06
3370,7.22708257583145e-06
3380,7.20576446014188e-06
3390,7.18457174027196e-06
3400,7.1635033130783e-06
3410,7.14255808832672e-06
3420,7.12173498846575e-06
3430,7.10103294852234e-06
3440,7.08045091583946e-06
3450,7.05998784993791e-06
3460,7.03964272233882e-06
3470,7.01941451636761e-06
3480,6.99930222700992e-06
3490,6.97930486073601e-06
3500,6.95942143534347e-06
3510,6.93965097978736e-06
3520,6.9199925340286e-06
3530,6.90044514885027e-06
3540,6.88100788577009e-06
3550,6.86167981682963e-06
3560,6.84246002446219e-06
3570,6.82334760136606e-06
3580,6.80434165033993e-06
3590,6.78544128414488e-06
3600,6.76664562539387e-06
3610,6.74795380637405e-06
3620,6.72936496893394e-06
3630,6.7108782643662e-06
3640,6.69249285326769e-06
3650,6.67420790536666e-06
3660,6.65602259950069e-06
3670,6.63793612338065e-06
3680,6.61994767356057e-06
3690,6.60205645525558e-06
3700,6.58426168224874e-06
3710,6.56656257680869e-06
3720,6.54895836950159e-06
3730,6.53144829914656e-06
3740,6.51403161268583e-06
3750,6.49670756504585e-06
3760,6.47947541909636e-06
3770,6.46233444546506e-06
3780,6.44528392250808e-06
3790,6.42832313619151e-06
3800,6.41145137991808e-06
3810,6.39466795454354e-06
3820,6.37797216818873e-06
3830,6.36136333624263e-06
3840,6.34484078110271e-06
3850,6.32840383229091e-06
3860,6.31205182620043e-06
3870,6.29578410609203e-06
3880,6.27960002196324e-06
3890,6.26349893048697e-06
3900,6.24748019489953e-06
3910,6.23154318496482e-06
3920,6.21568727684032e-06
3930,6.19991185303034e-06
3940,6.1842163022644e-06
3950,6.1686000194816e-06
3960,6.15306240569616e-06
3970,6.13760286793506e-06
3980,6.1222208192032e-06
3990,6.10691567831962e-06
4000,6.09168686998854e-06
4010,6.07653382451845e-06
4020,6.06145597798453e-06
4030,6.04645277198134e-06
4040,6.03152365364027e-06
4050,6.01666807552067e-06
4060,6.0018854955935e-06
4070,5.98717537712414e-06
4080,5.97253718860753e-06
4090,5.95797040375341e-06
4100,5.94347450140087e-06
4110,5.92904896541449e-06
4120,5.91469328469531e-06
4130,5.90040695303432e-06
4140,5.88618946915088e-06
4150,5.87204033655976e-06
4160,5.85795906353993e-06
4170,5.84394516307203e-06
4180,5.82999815278967e-06
4190,5.81611755493346e-06
4200,5.80230289625756e-06
4210,5.78855370802505e-06
4220,5.77486952592058e-06
4230,5.76124989000054e-06
4240,5.74769434466395e-06
4250,5.73420243858537e-06
4260,5.72077372467498e-06
4270,5.70740775998374e-06
4280,5.6941041057405e-06
4290,5.68086232723416e-06
4300,5.66768199378852e-06
4310,5.65456267870587e-06
4320,5.64150395925075e-06
4330,5.6285054165645e-06
4340,5.61556663564368e-06
4350,5.60268720529999e-06
4360,5.58986671810692e-06
4370,5.57710477037289e-06
4380,5.56440096203075e-06
4390,5.55175489673625e-06
4400,5.53916618164422e-06
4410,5.52663442753309e-06
4420,5.51415924867614e-06
4430,5.50174026281685e-06
4440,5.48937709113694e-06
4450,5.47706935821596e-06
4460,5.46481669198617e-06
4470,5.45261872372161e-06
4480,5.44047508795572e-06
4490,5.42838542249168e-06
4500,5.41634936832978e-06
4510,5.40436656964448e-06
4520,5.39243667379591e-06
4530,5.38055933116921e-06
4540,5.36873419531103e-06
4550,5.35696092273502e-06
4560,5.34523917301323e-06
4570,5.33356860864396e-06
4580,5.32194889510883e-06
4590,5.31037970078622e-06
4600,5.29886069692798e-06
4610,5.28739155762044e-06
4620,5.27597195977621e-06
4630,5.26460158308683e-06
4640,5.2532801100365e-06
4650,5.24200722576759e-06
4660,5.23078261817922e-06
4670,5.21960597779487e-06
4680,5.20847699782345e-06
4690,5.19739537403058e-06
4700,5.1863608048123e-06
4710,5.17537299108135e-06
4720,5.1644316363198e-06
4730,5.15353644648789e-06
4740,5.14268713000715e-06
4750,5.13188339778234e-06
4760,5.12112496313382e-06
4770,5.11041154175819e-06
4780,5.09974285175591e-06
4790,5.08911861356507e-06
4800,5.0785385499422e-06
4810,5.06800238594095e-06
4820,5.0575098488999e-06
4830,5.04706066843676e-06
4840,5.03665457634529e-06
4850,5.02629130666892e-06
4860,5.0159705956139e-06
4870,5.00569218155953e-06
4880,4.9954558050238e-06
4890,4.9852612086515e-06
4900,4.97510813714057e-06
4910,4.96499633733092e-06
4920,4.95492555805923e-06
4930,4.94489555023233e-06
4940,4.93490606676394e-06
4950,4.92495686254225e-06
4960,4.91504769442912e-06
4970,4.90517832126564e-06
4980,4.89534850380591e-06
4990,4.88555800473195e-06
5000,4.87580658858567e-06
5010,4.86609402182783e-06
5020,4.85642007274853e-06
5030,4.84678451149456e-06
5040,4.83718711003605e-06
5050,4.82762764209216e-06
5060,4.8181058832502e-06
5070,4.80862161081622e-06
5080,4.79917460384812e-06
5090,4.78976464314733e-06
5100,4.78039151122192e-06
5110,4.77105499228554e-06
5120,4.76175487222605e-06
5130,4.75249093861398e-06
5140,4.74326298066229e-06
5150,4.7340707892052e-06
5160,4.72491415670274e-06
5170,4.71579287723041e-06
5180,4.7067067464326e-06
5190,4.69765556154115e-06
5200,4.6886391213289e-06
5210,4.67965722612154e-06
5220,4.67070967777316e-06
5230,4.66179627964865e-06
5240,4.65291683657738e-06
5250,4.64407115494484e-06
5260,4.63525904254574e-06
5270,4.62648030866029e-06
5280,4.61773476398862e-06
5290,4.60902222066571e-06
5300,4.60034249227689e-06
5310,4.59169539376546e-06
5320,4.58308074146198e-06
5330,4.57449835310344e-06
5340,4.56594804777287e-06
5350,4.55742964590134e-06
5360,4.54894296926117e-06
5370,4.54048784096021e-06
5380,4.53206408540364e-06
5390,4.52367152828822e-06
5400,4.51530999663716e-06
5410,4.50697931871025e-06
5420,4.49867932405199e-06
5430,4.49040984346344e-06
5440,4.48217070897781e-06
5450,4.47396175385679e-06
5460,4.46578281258543e-06
5470,4.45763372086829e-06
5480,4.44951431559857e-06
5490,4.44142443483123e-06
5500,4.43336391785036e-06
5510,4.42533260505526e-06
5520,4.41733033800564e-06
5530,4.40935695944122e-06
5540,4.40141231320433e-06
5550,4.39349624426572e-06
5560,4.38560859871913e-06
5570,4.37774922373638e-06
5580,4.36991796761663e-06
5590,4.36211467971689e-06
5600,4.35433921048617e-06
5610,4.34659141141831e-06
5620,4.33887113509414e-06
5630,4.33117823508652e-06
5640,4.32351256606778e-06
5650,4.31587398370141e-06
5660,4.30826234465543e-06
5670,4.3006775066311e-06
5680,4.29311932834945e-06
5690,4.28558766948578e-06
5700,4.27808239069426e-06
5710,4.27060335364301e-06
5720,4.26315042095291e-06
5730,4.25572345615128e-06
5740,4.24832232379904e-06
5750,4.24094688933709e-06
5760,4.23359701913904e-06
5770,4.22627258056145e-06
5780,4.21897344180028e-06
5790,4.21169947203534e-06
5800,4.20445054126451e-06
5810,4.19722652045786e-06
