Time,CorrFn
0,0.0833967553965204
1,-0.0029168982833984
2,-0.00183521422827938
3,-0.00107325873683825
4,-0.000596953846072362
5,-0.000321734645477326
6,-0.000170137633854085
7,-8.89513120968258e-05
8,-4.62681703627432e-05
9,-2.42936715017337e-05
10,-1.35415693685167e-05
11,-9.04822392571479e-06
12,-7.81639336842257e-06
13,-7.65298505162448e-06
14,-7.64016729558316e-06
15,-7.63926155536523e-06
16,-7.63919811111649e-06
17,-7.6391936698108e-06
18,-7.63919335891834e-06
19,-7.63919333715573e-06
20,-7.63919333563216e-06
21,-7.63919333552571e-06
22,-7.63919333551811e-06
23,-7.63919333551766e-06
24,-7.63919333551755e-06
25,-7.63919333551761e-06
26,-7.63919333551755e-06
27,-7.63919333551761e-06
28,-7.63919333551755e-06
29,-7.63919333551761e-06
30,-7.63919333551755e-06
31,-7.63919333551761e-06
32,-7.63919333551755e-06
33,-7.63919333551761e-06
34,-7.63919333551755e-06
35,-7.63919333551761e-06
36,-7.63919333551755e-06
37,-7.63919333551761e-06
38,-7.63919333551755e-06
39,-7.63919333551761e-06
40,-7.63919333551755e-06
41,-7.63919333551761e-06
42,-7.63919333551755e-06
43,-7.63919333551761e-06
44,-7.63919333551755e-06
45,-7.63919333551761e-06
46,-7.63919333551755e-06
47,-7.63919333551761e-06
48,-7.63919333551755e-06
49,-7.63919333551761e-06
50,-7.63919333551755e-06
51,-7.63919333551761e-06
52,-7.63919333551755e-06
53,-7.63919333551761e-06
54,-7.63919333551755e-06
55,-7.63919333551761e-06
56,-7.63919333551755e-06
57,-7.63919333551761e-06
58,-7.63919333551755e-06
59,-7.63919333551761e-06
60,-7.63919333551755e-06
61,-7.63919333551761e-06
62,-7.63919333551755e-06
63,-7.63919333551761e-06
64,-7.63919333551755e-06
65,-7.63919333551761e-06
66,-7.63919333551755e-06
67,-7.63919333551761e-06
68,-7.63919333551755e-06
69,-7.63919333551761e-06
70,-7.63919333551755e-06
71,-7.63919333551761e-06
72,-7.63919333551755e-06
73,-7.63919333551761e-06
74,-7.63919333551755e-06
75,-7.63919333551761e-06
76,-7.63919333551755e-06
77,-7.63919333551761e-06
78,-7.63919333551755e-06
79,-7.63919333551761e-06
80,-7.63919333551755e-06
81,-7.63919333551761e-06
82,-7.63919333551755e-06
83,-7.63919333551761e-06
84,-7.63919333551755e-06
85,-7.63919333551761e-06
86,-7.63919333551755e-06
87,-7.63919333551761e-06
88,-7.63919333551755e-06
89,-7.63919333551761e-06
90,-7.63919333551755e-06
91,-7.63919333551761e-06
92,-7.63919333551755e-06
93,-7.63919333551761e-06
94,-7.63919333551755e-06
95,-7.63919333551761e-06
96,-7.63919333551755e-06
97,-7.63919333551761e-06
98,-7.63919333551755e-06
99,-7.63919333551761e-06
100,-7.63919333551755e-06
101,-7.63919333551761e-06
102,-7.63919333551755e-06
103,-7.63919333551761e-06
104,-7.63919333551755e-06
105,-7.63919333551761e-06
106,-7.63919333551755e-06
107,-7.63919333551761e-06
108,-7.63919333551755e-06
109,-7.63919333551761e-06
110,-7.63919333551755e-06
111,-7.63919333551761e-06
112,-7.63919333551755e-06
113,-7.63919333551761e-06
114,-7.63919333551755e-06
115,-7.63919333551761e-06
116,-7.63919333551755e-06
117,-7.63919333551761e-06
118,-7.63919333551755e-06
119,-7.63919333551761e-06
120,-7.63919333551755e-06
121,-7.63919333551761e-06
122,-7.63919333551755e-06
123,-7.63919333551761e-06
124,-7.63919333551755e-06
125,-7.63919333551761e-06
126,-7.63919333551755e-06
127,-7.63919333551761e-06
128,-7.63919333551755e-06
129,-7.63919333551761e-06
130,-7.63919333551755e-06
131,-7.63919333551761e-06
132,-7.63919333551755e-06
133,-7.63919333551761e-06
134,-7.63919333551755e-06
135,-7.63919333551761e-06
136,-7.63919333551755e-06
137,-7.63919333551761e-06
138,-7.63919333551755e-06
139,-7.63919333551761e-06
140,-7.63919333551755e-06
141,-7.63919333551761e-06
142,-7.63919333551755e-06
143,-7.63919333551761e-06
144,-7.63919333551755e-06
145,-7.63919333551761e-06
146,-7.63919333551755e-06
147,-7.63919333551761e-06
148,-7.63919333551755e-06
149,-7.63919333551761e-06
150,-7.63919333551755e-06
151,-7.63919333551761e-06
152,-7.63919333551755e-06
153,-7.63919333551761e-06
154,-7.63919333551755e-06
155,-7.63919333551761e-06
156,-7.63919333551755e-06
157,-7.63919333551761e-06
158,-7.63919333551755e-06
159,-7.63919333551761e-06
160,-7.63919333551755e-06
161,-7.63919333551761e-06
162,-7.63919333551755e-06
163,-7.63919333551761e-06
164,-7.63919333551755e-06
165,-7.63919333551761e-06
166,-7.63919333551755e-06
167,-7.63919333551761e-06
168,-7.63919333551755e-06
169,-7.63919333551761e-06
170,-7.63919333551755e-06
171,-7.63919333551761e-06
172,-7.63919333551755e-06
173,-7.63919333551761e-06
174,-7.63919333551755e-06
175,-7.63919333551761e-06
176,-7.63919333551755e-06
177,-7.63919333551761e-06
178,-7.63919333551755e-06
179,-7.63919333551761e-06
180,-7.63919333551755e-06
181,-7.63919333551761e-06
182,-7.63919333551755e-06
183,-7.63919333551761e-06
184,-7.63919333551755e-06
185,-7.63919333551761e-06
186,-7.63919333551755e-06
187,-7.63919333551761e-06
188,-7.63919333551755e-06
189,-7.63919333551761e-06
190,-7.63919333551755e-06
191,-7.63919333551761e-06
192,-7.63919333551755e-06
193,-7.63919333551761e-06
194,-7.63919333551755e-06
195,-7.63919333551761e-06
196,-7.63919333551755e-06
197,-7.63919333551761e-06
198,-7.63919333551755e-06
199,-7.63919333551761e-06
200,-7.63919333551755e-06
201,-7.63919333551761e-06
202,-7.63919333551755e-06
203,-7.63919333551761e-06
204,-7.63919333551755e-06
205,-7.63919333551761e-06
206,-7.63919333551755e-06
207,-7.63919333551761e-06
208,-7.63919333551755e-06
209,-7.63919333551761e-06
210,-7.63919333551755e-06
211,-7.63919333551761e-06
212,-7.63919333551755e-06
213,-7.63919333551761e-06
214,-7.63919333551755e-06
215,-7.63919333551761e-06
216,-7.63919333551755e-06
217,-7.63919333551761e-06
218,-7.63919333551755e-06
219,-7.63919333551761e-06
220,-7.63919333551755e-06
221,-7.63919333551761e-06
222,-7.63919333551755e-06
223,-7.63919333551761e-06
224,-7.63919333551755e-06
225,-7.63919333551761e-06
226,-7.63919333551755e-06
227,-7.63919333551761e-06
228,-7.63919333551755e-06
229,-7.63919333551761e-06
230,-7.63919333551755e-06
231,-7.63919333551761e-06
232,-7.63919333551755e-06
233,-7.63919333551761e-06
234,-7.63919333551755e-06
235,-7.63919333551761e-06
236,-7.63919333551755e-06
237,-7.63919333551761e-06
238,-7.63919333551755e-06
239,-7.63919333551761e-06
240,-7.63919333551755e-06
241,-7.63919333551761e-06
242,-7.63919333551755e-06
243,-7.63919333551761e-06
244,-7.63919333551755e-06
245,-7.63919333551761e-06
246,-7.63919333551755e-06
247,-7.63919333551761e-06
248,-7.63919333551755e-06
249,-7.63919333551761e-06
250,-7.63919333551755e-06
251,-7.63919333551761e-06
252,-7.63919333551755e-06
253,-7.63919333551761e-06
254,-7.63919333551755e-06
255,-7.63919333551761e-06
256,-7.63919333551755e-06
257,-7.63919333551761e-06
258,-7.63919333551755e-06
259,-7.63919333551761e-06
260,-7.63919333551755e-06
261,-7.63919333551761e-06
262,-7.63919333551755e-06
263,-7.63919333551761e-06
264,-7.63919333551755e-06
265,-7.63919333551761e-06
266,-7.63919333551755e-06
267,-7.63919333551761e-06
268,-7.63919333551755e-06
269,-7.63919333551761e-06
270,-7.63919333551755e-06
271,-7.63919333551761e-06
272,-7.63919333551755e-06
273,-7.63919333551761e-06
274,-7.63919333551755e-06
275,-7.63919333551761e-06
276,-7.63919333551755e-06
277,-7.63919333551761e-06
278,-7.63919333551755e-06
279,-7.63919333551761e-06
280,-7.63919333551755e-06
281,-7.63919333551761e-06
282,-7.63919333551755e-06
283,-7.63919333551761e-06
284,-7.63919333551755e-06
285,-7.63919333551761e-06
286,-7.63919333551755e-06
287,-7.63919333551761e-06
288,-7.63919333551755e-06
289,-7.63919333551761e-06
290,-7.63919333551755e-06
291,-7.63919333551761e-06
292,-7.63919333551755e-06
293,-7.63919333551761e-06
294,-7.63919333551755e-06
295,-7.63919333551761e-06
296,-7.63919333551755e-06
297,-7.63919333551761e-06
298,-7.63919333551755e-06
299,-7.63919333551761e-06
300,-7.63919333551755e-06
301,-7.63919333551761e-06
302,-7.63919333551755e-06
303,-7.63919333551761e-06
304,-7.63919333551755e-06
305,-7.63919333551761e-06
306,-7.63919333551755e-06
307,-7.63919333551761e-06
308,-7.63919333551755e-06
309,-7.63919333551761e-06
310,-7.63919333551755e-06
311,-7.63919333551761e-06
312,-7.63919333551755e-06
313,-7.63919333551761e-06
314,-7.63919333551755e-06
315,-7.63919333551761e-06
316,-7.63919333551755e-06
317,-7.63919333551761e-06
318,-7.63919333551755e-06
319,-7.63919333551761e-06
320,-7.63919333551755e-06
321,-7.63919333551761e-06
322,-7.63919333551755e-06
323,-7.63919333551761e-06
324,-7.63919333551755e-06
325,-7.63919333551761e-06
326,-7.63919333551755e-06
327,-7.63919333551761e-06
328,-7.63919333551755e-06
329,-7.63919333551761e-06
330,-7.63919333551755e-06
331,-7.63919333551761e-06
332,-7.63919333551755e-06
333,-7.63919333551761e-06
334,-7.63919333551755e-06
335,-7.63919333551761e-06
336,-7.63919333551755e-06
337,-7.63919333551761e-06
338,-7.63919333551755e-06
339,-7.63919333551761e-06
340,-7.63919333551755e-06
341,-7.63919333551761e-06
342,-7.63919333551755e-06
343,-7.63919333551761e-06
344,-7.63919333551755e-06
345,-7.63919333551761e-06
346,-7.63919333551755e-06
347,-7.63919333551761e-06
348,-7.63919333551755e-06
349,-7.63919333551761e-06
350,-7.63919333551755e-06
351,-7.63919333551761e-06
352,-7.63919333551755e-06
353,-7.63919333551761e-06
354,-7.63919333551755e-06
355,-7.63919333551761e-06
356,-7.63919333551755e-06
357,-7.63919333551761e-06
358,-7.63919333551755e-06
359,-7.63919333551761e-06
360,-7.63919333551755e-06
361,-7.63919333551761e-06
362,-7.63919333551755e-06
363,-7.63919333551761e-06
364,-7.63919333551755e-06
365,-7.63919333551761e-06
366,-7.63919333551755e-06
367,-7.63919333551761e-06
368,-7.63919333551755e-06
369,-7.63919333551761e-06
370,-7.63919333551755e-06
371,-7.63919333551761e-06
372,-7.63919333551755e-06
373,-7.63919333551761e-06
374,-7.63919333551755e-06
375,-7.63919333551761e-06
376,-7.63919333551755e-06
377,-7.63919333551761e-06
378,-7.63919333551755e-06
379,-7.63919333551761e-06
380,-7.63919333551755e-06
381,-7.63919333551761e-06
382,-7.63919333551755e-06
383,-7.63919333551761e-06
384,-7.63919333551755e-06
385,-7.63919333551761e-06
386,-7.63919333551755e-06
387,-7.63919333551761e-06
388,-7.63919333551755e-06
389,-7.63919333551761e-06
390,-7.63919333551755e-06
391,-7.63919333551761e-06
392,-7.63919333551755e-06
393,-7.63919333551761e-06
394,-7.63919333551755e-06
395,-7.63919333551761e-06
396,-7.63919333551755e-06
397,-7.63919333551761e-06
398,-7.63919333551755e-06
399,-7.63919333551761e-06
400,-7.63919333551755e-06
401,-7.63919333551761e-06
402,-7.63919333551755e-06
403,-7.63919333551761e-06
404,-7.63919333551755e-06
405,-7.63919333551761e-06
406,-7.63919333551755e-06
407,-7.63919333551761e-06
408,-7.63919333551755e-06
409,-7.63919333551761e-06
410,-7.63919333551755e-06
411,-7.63919333551761e-06
412,-7.63919333551755e-06
413,-7.63919333551761e-06
414,-7.63919333551755e-06
415,-7.63919333551761e-06
416,-7.63919333551755e-06
417,-7.63919333551761e-06
418,-7.63919333551755e-06
419,-7.63919333551761e-06
420,-7.63919333551755e-06
421,-7.63919333551761e-06
422,-7.63919333551755e-06
423,-7.63919333551761e-06
424,-7.63919333551755e-06
425,-7.63919333551761e-06
426,-7.63919333551755e-06
427,-7.63919333551761e-06
428,-7.63919333551755e-06
429,-7.63919333551761e-06
430,-7.63919333551755e-06
431,-7.63919333551761e-06
432,-7.63919333551755e-06
433,-7.63919333551761e-06
434,-7.63919333551755e-06
435,-7.63919333551761e-06
436,-7.63919333551755e-06
437,-7.63919333551761e-06
438,-7.63919333551755e-06
439,-7.63919333551761e-06
440,-7.63919333551755e-06
441,-7.63919333551761e-06
442,-7.63919333551755e-06
443,-7.63919333551761e-06
444,-7.63919333551755e-06
445,-7.63919333551761e-06
446,-7.63919333551755e-06
447,-7.63919333551761e-06
448,-7.63919333551755e-06
449,-7.63919333551761e-06
450,-7.63919333551755e-06
451,-7.63919333551761e-06
452,-7.63919333551755e-06
453,-7.63919333551761e-06
454,-7.63919333551755e-06
455,-7.63919333551761e-06
456,-7.63919333551755e-06
457,-7.63919333551761e-06
458,-7.63919333551755e-06
459,-7.63919333551761e-06
460,-7.63919333551755e-06
461,-7.63919333551761e-06
462,-7.63919333551755e-06
463,-7.63919333551761e-06
464,-7.63919333551755e-06
465,-7.63919333551761e-06
466,-7.63919333551755e-06
467,-7.63919333551761e-06
468,-7.63919333551755e-06
469,-7.63919333551761e-06
470,-7.63919333551755e-06
471,-7.63919333551761e-06
472,-7.63919333551755e-06
473,-7.63919333551761e-06
474,-7.63919333551755e-06
475,-7.63919333551761e-06
476,-7.63919333551755e-06
477,-7.63919333551761e-06
478,-7.63919333551755e-06
479,-7.63919333551761e-06
480,-7.63919333551755e-06
481,-7.63919333551761e-06
482,-7.63919333551755e-06
483,-7.63919333551761e-06
484,-7.63919333551755e-06
485,-7.63919333551761e-06
486,-7.63919333551755e-06
487,-7.63919333551761e-06
488,-7.63919333551755e-06
489,-7.63919333551761e-06
490,-7.63919333551755e-06
491,-7.63919333551761e-06
492,-7.63919333551755e-06
493,-7.63919333551761e-06
494,-7.63919333551755e-06
495,-7.63919333551761e-06
496,-7.63919333551755e-06
497,-7.63919333551761e-06
498,-7.63919333551755e-06
499,-7.63919333551761e-06
500,-7.63919333551755e-06
501,-7.63919333551761e-06
502,-7.63919333551755e-06
503,-7.63919333551761e-06
504,-7.63919333551755e-06
505,-7.63919333551761e-06
506,-7.63919333551755e-06
507,-7.63919333551761e-06
508,-7.63919333551755e-06
509,-7.63919333551761e-06
510,-7.63919333551755e-06
511,-7.63919333551761e-06
512,-7.63919333551755e-06
513,-7.63919333551761e-06
514,-7.63919333551755e-06
515,-7.63919333551761e-06
516,-7.63919333551755e-06
517,-7.63919333551761e-06
518,-7.63919333551755e-06
519,-7.63919333551761e-06
520,-7.63919333551755e-06
521,-7.63919333551761e-06
522,-7.63919333551755e-06
523,-7.63919333551761e-06
524,-7.63919333551755e-06
525,-7.63919333551761e-06
526,-7.63919333551755e-06
527,-7.63919333551761e-06
528,-7.63919333551755e-06
529,-7.63919333551761e-06
530,-7.63919333551755e-06
531,-7.63919333551761e-06
532,-7.63919333551755e-06
533,-7.63919333551761e-06
534,-7.63919333551755e-06
535,-7.63919333551761e-06
536,-7.63919333551755e-06
537,-7.63919333551761e-06
538,-7.63919333551755e-06
539,-7.63919333551761e-06
540,-7.63919333551755e-06
541,-7.63919333551761e-06
542,-7.63919333551755e-06
543,-7.63919333551761e-06
544,-7.63919333551755e-06
545,-7.63919333551761e-06
546,-7.63919333551755e-06
547,-7.63919333551761e-06
548,-7.63919333551755e-06
549,-7.63919333551761e-06
550,-7.63919333551755e-06
551,-7.63919333551761e-06
552,-7.63919333551755e-06
553,-7.63919333551761e-06
554,-7.63919333551755e-06
555,-7.63919333551761e-06
556,-7.63919333551755e-06
557,-7.63919333551761e-06
558,-7.63919333551755e-06
559,-7.63919333551761e-06
560,-7.63919333551755e-06
561,-7.63919333551761e-06
562,-7.63919333551755e-06
563,-7.63919333551761e-06
564,-7.63919333551755e-06
565,-7.63919333551761e-06
566,-7.63919333551755e-06
567,-7.63919333551761e-06
568,-7.63919333551755e-06
569,-7.63919333551761e-06
570,-7.63919333551755e-06
571,-7.63919333551761e-06
572,-7.63919333551755e-06
573,-7.63919333551761e-06
574,-7.63919333551755e-06
575,-7.63919333551761e-06
576,-7.63919333551755e-06
577,-7.63919333551761e-06
578,-7.63919333551755e-06
579,-7.63919333551761e-06
580,-7.63919333551755e-06
581,-7.63919333551761e-06
582,-7.63919333551755e-06
583,-7.63919333551761e-06
584,-7.63919333551755e-06
585,-7.63919333551761e-06
586,-7.63919333551755e-06
587,-7.63919333551761e-06
588,-7.63919333551755e-06
589,-7.63919333551761e-06
590,-7.63919333551755e-06
591,-7.63919333551761e-06
592,-7.63919333551755e-06
593,-7.63919333551761e-06
594,-7.63919333551755e-06
595,-7.63919333551761e-06
596,-7.63919333551755e-06
597,-7.63919333551761e-06
598,-7.63919333551755e-06
599,-7.63919333551761e-06
600,-7.63919333551755e-06
601,-7.63919333551761e-06
602,-7.63919333551755e-06
603,-7.63919333551761e-06
604,-7.63919333551755e-06
605,-7.63919333551761e-06
606,-7.63919333551755e-06
607,-7.63919333551761e-06
608,-7.63919333551755e-06
609,-7.63919333551761e-06
610,-7.63919333551755e-06
611,-7.63919333551761e-06
612,-7.63919333551755e-06
613,-7.63919333551761e-06
614,-7.63919333551755e-06
615,-7.63919333551761e-06
616,-7.63919333551755e-06
617,-7.63919333551761e-06
618,-7.63919333551755e-06
619,-7.63919333551761e-06
620,-7.63919333551755e-06
621,-7.63919333551761e-06
622,-7.63919333551755e-06
623,-7.63919333551761e-06
624,-7.63919333551755e-06
625,-7.63919333551761e-06
626,-7.63919333551755e-06
627,-7.63919333551761e-06
628,-7.63919333551755e-06
629,-7.63919333551761e-06
630,-7.63919333551755e-06
631,-7.63919333551761e-06
632,-7.63919333551755e-06
633,-7.63919333551761e-06
634,-7.63919333551755e-06
635,-7.63919333551761e-06
636,-7.63919333551755e-06
637,-7.63919333551761e-06
638,-7.63919333551755e-06
639,-7.63919333551761e-06
640,-7.63919333551755e-06
641,-7.63919333551761e-06
642,-7.63919333551755e-06
643,-7.63919333551761e-06
644,-7.63919333551755e-06
645,-7.63919333551761e-06
646,-7.63919333551755e-06
647,-7.63919333551761e-06
648,-7.63919333551755e-06
649,-7.63919333551761e-06
650,-7.63919333551755e-06
651,-7.63919333551761e-06
652,-7.63919333551755e-06
653,-7.63919333551761e-06
654,-7.63919333551755e-06
655,-7.63919333551761e-06
656,-7.63919333551755e-06
657,-7.63919333551761e-06
658,-7.63919333551755e-06
659,-7.63919333551761e-06
660,-7.63919333551755e-06
661,-7.63919333551761e-06
662,-7.63919333551755e-06
663,-7.63919333551761e-06
664,-7.63919333551755e-06
665,-7.63919333551761e-06
666,-7.63919333551755e-06
667,-7.63919333551761e-06
668,-7.63919333551755e-06
669,-7.63919333551761e-06
670,-7.63919333551755e-06
671,-7.63919333551761e-06
672,-7.63919333551755e-06
673,-7.63919333551761e-06
674,-7.63919333551755e-06
675,-7.63919333551761e-06
676,-7.63919333551755e-06
677,-7.63919333551761e-06
678,-7.63919333551755e-06
679,-7.63919333551761e-06
680,-7.63919333551755e-06
681,-7.63919333551761e-06
682,-7.63919333551755e-06
683,-7.63919333551761e-06
684,-7.63919333551755e-06
685,-7.63919333551761e-06
686,-7.63919333551755e-06
687,-7.63919333551761e-06
688,-7.63919333551755e-06
