Iters,Variance
0,0
10,0.000861111267511742
20,0.000770646387774697
30,0.000619736580400886
40,0.000509448644285933
50,0.000430302617089356
60,0.000371687200903385
70,0.000326808822370705
80,0.000291447698926866
90,0.000262910903152019
100,0.000239418036754357
110,0.000219751516190934
120,0.000203053122177538
130,0.000188701708613285
140,0.000176237197272255
150,0.000165311839931531
160,0.000155658066071454
170,0.000147066724211394
180,0.000139372016434872
190,0.000132440850871785
200,0.000126165176217218
210,0.000120456370215033
220,0.000115241069098291
230,0.000110458024979067
240,0.000106055707840866
250,0.000101990454487416
260,9.82250244623022e-05
270,9.47274623899241e-05
280,9.1470193571002e-05
290,8.84292989476631e-05
300,8.5583929308161e-05
310,8.2915828533071e-05
320,8.04089429373442e-05
330,7.80490991146113e-05
340,7.58237366790163e-05
350,7.37216852999933e-05
360,7.17329777020224e-05
370,6.98486920428177e-05
380,6.80608184259231e-05
390,6.63621453462572e-05
400,6.47461626822145e-05
410,6.3206978489583e-05
420,6.17392473604612e-05
430,6.03381085152057e-05
440,5.89991321195012e-05
450,5.77182725797713e-05
460,5.64918277815025e-05
470,5.53164034068853e-05
480,5.41888816086034e-05
490,5.31063934319518e-05
500,5.20662944724531e-05
510,5.10661433346534e-05
520,5.01036825233245e-05
530,4.91768214525452e-05
540,4.82836213039569e-05
550,4.74222815035029e-05
560,4.65911276185914e-05
570,4.57886005044636e-05
580,4.50132465520472e-05
590,4.42637089090521e-05
600,4.35387195628458e-05
610,4.28370921880184e-05
620,4.21577156739102e-05
630,4.14995482578012e-05
640,4.08616121987336e-05
650,4.02429889346423e-05
660,3.9642814672569e-05
670,3.9060276367232e-05
680,3.84946080487918e-05
690,3.79450874649064e-05
700,3.74110330061151e-05
710,3.68918008870415e-05
720,3.63867825589992e-05
730,3.58954023320728e-05
740,3.54171151871689e-05
750,3.4951404760565e-05
760,3.44977814853357e-05
770,3.40557808755394e-05
780,3.36249619405564e-05
790,3.32049057182167e-05
800,3.27952139164755e-05
810,3.23955076543239e-05
820,3.20054262936468e-05
830,3.16246263544021e-05
840,3.12527805063249e-05
850,3.08895766308731e-05
860,3.05347169478108e-05
870,3.01879172012842e-05
880,2.98489059006969e-05
890,2.95174236121882e-05
900,2.91932222967117e-05
910,2.88760646913024e-05
920,2.85657237302202e-05
930,2.82619820029522e-05
940,2.79646312464801e-05
950,2.76734718692335e-05
960,2.73883125044357e-05
970,2.7108969590809e-05
980,2.68352669786535e-05
990,2.65670355595491e-05
1000,2.63041129180293e-05
1010,2.60463430037071e-05
1020,2.57935758225603e-05
1030,2.55456671459451e-05
1040,2.53024782361964e-05
1050,2.50638755878647e-05
1060,2.48297306833469e-05
1070,2.45999197621188e-05
1080,2.43743236026749e-05
1090,2.41528273163407e-05
1100,2.39353201521971e-05
1110,2.372169531251e-05
1120,2.35118497778984e-05
1130,2.33056841417259e-05
1140,2.31031024531018e-05
1150,2.29040120680416e-05
1160,2.27083235081921e-05
1170,2.25159503268215e-05
1180,2.2326808981441e-05
1190,2.21408187129392e-05
1200,2.19579014305708e-05
1210,2.17779816027009e-05
1220,2.16009861527925e-05
1230,2.14268443604871e-05
1240,2.12554877674079e-05
1250,2.10868500874285e-05
1260,2.09208671212201e-05
1270,2.07574766747321e-05
1280,2.05966184815669e-05
1290,2.04382341288341e-05
1300,2.02822669864455e-05
1310,2.01286621396321e-05
1320,1.99773663244741e-05
1330,1.98283278663468e-05
1340,1.96814966210592e-05
1350,1.953682391866e-05
1360,1.93942625095834e-05
1370,1.92537665132941e-05
1380,1.91152913690058e-05
1390,1.89787937885746e-05
1400,1.88442317114264e-05
1410,1.87115642613072e-05
1420,1.85807517049152e-05
1430,1.84517554122073e-05
1440,1.83245378184236e-05
1450,1.81990623875565e-05
1460,1.80752935774074e-05
1470,1.79531968060403e-05
1480,1.78327384195348e-05
1490,1.77138856610778e-05
1500,1.75966066412726e-05
1510,1.74808703096504e-05
1520,1.73666464271938e-05
1530,1.72539055400483e-05
1540,1.71426189542097e-05
1550,1.70327587111483e-05
1560,1.69242975643976e-05
1570,1.6817208957096e-05
1580,1.67114670001934e-05
1590,1.66070464516833e-05
1600,1.65039226964824e-05
1610,1.64020717270744e-05
1620,1.63014701249185e-05
1630,1.6202095042442e-05
1640,1.610392418581e-05
1650,1.60069357981774e-05
1660,1.59111086437271e-05
1670,1.58164219920176e-05
1680,1.57228556031715e-05
1690,1.56303897133957e-05
1700,1.55390050210508e-05
1710,1.54486826732361e-05
1720,1.53594042528482e-05
1730,1.52711517660142e-05
1740,1.51839076300569e-05
1750,1.50976546617628e-05
1760,1.50123760661499e-05
1770,1.49280554255271e-05
1780,1.48446766889848e-05
1790,1.47622241622025e-05
1800,1.46806824975801e-05
1810,1.46000366847568e-05
1820,1.45202720413644e-05
1830,1.44413742041416e-05
1840,1.43633291202724e-05
1850,1.42861230390979e-05
1860,1.42097425040186e-05
1870,1.41341743446283e-05
1880,1.40594056692263e-05
