Iters,Variance
0,0
10,9.02335770056148e-07
20,5.61351423650204e-07
30,4.02058512834666e-07
40,3.124628594363e-07
50,2.55335857480041e-07
60,2.1580389365466e-07
70,1.86844268203618e-07
80,1.64724219259504e-07
90,1.47280222974156e-07
100,1.33173025890141e-07
110,1.21529697086502e-07
120,1.11757108140891e-07
130,1.03438230411858e-07
140,9.62713387434156e-08
150,9.00327602162952e-08
160,8.45531806819906e-08
170,7.9702084249473e-08
180,7.53772463590152e-08
190,7.14974646767286e-08
200,6.79974209934593e-08
210,6.48239794501648e-08
220,6.19334736304012e-08
230,5.92896875439728e-08
240,5.68623319534454e-08
250,5.46258798601234e-08
260,5.25586661301821e-08
270,5.06421839199232e-08
280,4.88605294873208e-08
290,4.7199960123839e-08
300,4.56485392035576e-08
310,4.41958489596506e-08
320,4.2832756377988e-08
330,4.1551221091449e-08
340,4.03441367399458e-08
350,3.92051991871746e-08
360,3.81287964356655e-08
370,3.71099161837666e-08
380,3.614406781213e-08
390,3.52272162388606e-08
400,3.43557255889617e-08
410,3.352631102031e-08
420,3.27359973608159e-08
430,3.19820834592012e-08
440,3.12621113493716e-08
450,3.05738394868355e-08
460,2.9915219443361e-08
470,2.92843755495122e-08
480,2.86795870591201e-08
490,2.80992724785295e-08
500,2.754197576017e-08
510,2.70063541067817e-08
520,2.64911671712302e-08
530,2.59952674690872e-08
540,2.55175918480555e-08
550,2.50571538807308e-08
560,2.46130370662346e-08
570,2.41843887420664e-08
580,2.37704146211324e-08
590,2.33703738803206e-08
600,2.29835747367117e-08
610,2.26093704558724e-08
620,2.22471557437982e-08
630,2.18963634801301e-08
640,2.15564617556243e-08
650,2.12269511812669e-08
660,2.09073624404545e-08
670,2.05972540589786e-08
680,2.02962103705468e-08
690,2.00038396581254e-08
700,1.97197724536429e-08
710,1.94436599804767e-08
720,1.91751727250195e-08
730,1.89139991249382e-08
740,1.8659844363176e-08
750,1.8412429257904e-08
760,1.81714892396209e-08
770,1.7936773407484e-08
780,1.7708043657893e-08
790,1.74850738788497e-08
800,1.7267649204452e-08
810,1.7055565324307e-08
820,1.68486278432202e-08
830,1.66466516869267e-08
840,1.64494605500741e-08
850,1.62568863829639e-08
860,1.60687689139134e-08
870,1.58849552044313e-08
880,1.57052992345433e-08
890,1.55296615159564e-08
900,1.53579087309007e-08
910,1.51899133946347e-08
920,1.50255535399188e-08
930,1.48647124216949e-08
940,1.47072782405637e-08
950,1.45531438836461e-08
960,1.44022066815634e-08
970,1.4254368180383e-08
980,1.41095339274735e-08
990,1.39676132702752e-08
1000,1.38285191670999e-08
1010,1.3692168009116e-08
1020,1.35584794527689e-08
1030,1.34273762619243e-08
1040,1.32987841590685e-08
1050,1.31726316849952e-08
1060,1.30488500663895e-08
1070,1.2927373090813e-08
1080,1.28081369886197e-08
1090,1.26910803213016e-08
1100,1.2576143875967e-08
1110,1.24632705654518e-08
1120,1.23524053337823e-08
1130,1.22434950666229e-08
1140,1.21364885064552e-08
1150,1.20313361721113e-08
1160,1.19279902825011e-08
1170,1.18264046842311e-08
1180,1.17265347828548e-08
1190,1.16283374776209e-08
1200,1.15317710994512e-08
1210,1.14367953519712e-08
1220,1.13433712554699e-08
1230,1.12514610935465e-08
1240,1.11610283623386e-08
1250,1.10720377221872e-08
1260,1.09844549516043e-08
1270,1.08982469033777e-08
1280,1.08133814627552e-08
1290,1.07298275075581e-08
1300,1.06475548701101e-08
1310,1.0566534300967e-08
1320,1.04867374341919e-08
1330,1.04081367542745e-08
1340,1.03307055645067e-08
1350,1.02544179567316e-08
1360,1.01792487824381e-08
1370,1.0105173625153e-08
1380,1.00321687739564e-08
1390,9.96021119822439e-09
1400,9.88927852335225e-09
1410,9.81934900762244e-09
1420,9.75040151992937e-09
1430,9.68241551852471e-09
1440,9.61537103060404e-09
1450,9.54924863274393e-09
1460,9.48402943214443e-09
1470,9.41969504863223e-09
1480,9.3562275973765e-09
1490,9.29360967235136e-09
1500,9.2318243303794e-09
1510,9.1708550758626e-09
1520,9.11068584610286e-09
1530,9.05130099720254e-09
1540,8.9926852904835e-09
1550,8.93482387946878e-09
1560,8.8777022973337e-09
1570,8.82130644485178e-09
1580,8.76562257880203e-09
1590,8.71063730077837e-09
1600,8.6563375464826e-09
1610,8.60271057531773e-09
1620,8.54974396048552e-09
1630,8.49742557934916e-09
1640,8.44574360418956e-09
1650,8.39468649328665e-09
1660,8.34424298234665e-09
1670,8.29440207618654e-09
1680,8.24515304077435e-09
1690,8.196485395502e-09
1700,8.14838890576892e-09
1710,8.10085357576837e-09
1720,8.05386964161451e-09
1730,8.00742756462588e-09
1740,7.96151802485777e-09
1750,7.91613191490467e-09
1760,7.87126033384061e-09
1770,7.8268945814125e-09
1780,7.78302615244274e-09
1790,7.73964673133786e-09
1800,7.69674818688236e-09
1810,7.65432256714795e-09
1820,7.6123620945639e-09
1830,7.57085916115944e-09
1840,7.52980632400113e-09
1850,7.48919630070335e-09
1860,7.44902196514978e-09
1870,7.40927634331281e-09
1880,7.36995260920819e-09
1890,7.33104408100942e-09
1900,7.29254421723263e-09
1910,7.25444661311566e-09
1920,7.21674499701289e-09
1930,7.17943322698918e-09
1940,7.14250528747995e-09
1950,7.10595528604374e-09
1960,7.0697774502456e-09
1970,7.03396612458507e-09
1980,6.99851576761215e-09
1990,6.96342094898539e-09
2000,6.92867634678675e-09
2010,6.89427674474025e-09
2020,6.86021702969288e-09
2030,6.826492189003e-09
2040,6.79309730814015e-09
2050,6.76002756824919e-09
2060,6.72727824386744e-09
2070,6.69484470065668e-09
2080,6.66272239323204e-09
2090,6.63090686300483e-09
2100,6.59939373616946e-09
2110,6.56817872164384e-09
2120,6.53725760918209e-09
2130,6.50662626742559e-09
2140,6.47628064208607e-09
2150,6.44621675418067e-09
2160,6.41643069823808e-09
2170,6.38691864065716e-09
2180,6.35767681804026e-09
2190,6.32870153559216e-09
2200,6.29998916557597e-09
2210,6.27153614577992e-09
2220,6.24333897806901e-09
2230,6.21539422691817e-09
2240,6.18769851805891e-09
2250,6.16024853709352e-09
2260,6.13304102815356e-09
2270,6.10607279266482e-09
2280,6.07934068805794e-09
2290,6.05284162655546e-09
2300,6.02657257397642e-09
2310,6.00053054858684e-09
2320,5.97471261998426e-09
2330,5.94911590795668e-09
2340,5.92373758145193e-09
2350,5.89857485754621e-09
2360,5.87362500034483e-09
2370,5.8488853200918e-09
2380,5.82435317214424e-09
2390,5.80002595604549e-09
2400,5.77590111459472e-09
2410,5.75197613296861e-09
2420,5.72824853784245e-09
2430,5.70471589653501e-09
2440,5.68137581616261e-09
2450,5.6582259428587e-09
2460,5.63526396095737e-09
2470,5.61248759224412e-09
2480,5.58989459515441e-09
2490,5.56748276411365e-09
2500,5.54524992874815e-09
2510,5.52319395322905e-09
2520,5.50131273557299e-09
2530,5.47960420695476e-09
2540,5.4580663311006e-09
2550,5.43669710361997e-09
2560,5.41549455137701e-09
2570,5.39445673191586e-09
2580,5.37358173282988e-09
2590,5.35286767121014e-09
2600,5.33231269306546e-09
2610,5.31191497277092e-09
2620,5.29167271253647e-09
2630,5.27158414186489e-09
2640,5.25164751704249e-09
2650,5.23186112063522e-09
2660,5.21222326100068e-09
2670,5.1927322717915e-09
2680,5.17338651149246e-09
2690,5.15418436296408e-09
2700,5.13512423298769e-09
2710,5.11620455182009e-09
2720,5.09742377277935e-09
2730,5.07878037178675e-09
2740,5.06027284699706e-09
